SampleID	sample	Latitude	longitude	Area	Pais	Estado	Zona	Localidad	subsamples	area_m2	Last_fire_y_ago	collection_date	biome	bioregion	ecoregion	Bray_Group	vegetacion	nativeness	warning	delta15N	N_conc_g_kg	P_conc_mg_kg	abund	richness	mold_Eurotiales_Abundance	mold_Mortierellales_Abundance	mold_Mucorales_Abundance	mold_Trichoderma_Abundance	mold_Umbelopsidales_Abundance
MX34_Tziltzilche	MX34	20.09	-89.55	Mexico:YucatÃ¡n:Tziltzilche	MÃ©xico	YucatÃ¡n	Kiuic	Tziltzilche	40	2500	100	43652	forest: subtropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Dry Forests	I	Selva_Baja			2.500167781	3.39266477	0.124929461	7024	895	0.07118451	0.242027335	0.028473804	0.882687927	0.042710706
S530_Bella_Flor_2	S530	20.86	-90.15	Mexico:YucatÃ¡n:Bella Flor	MÃ©xico	YucatÃ¡n	Bella Flor	Bella_Flor_2	40	2500	100	42254	forest: subtropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Dry Forests	I	Selva_Baja			2.864168805	9.59651103	0.603994334	3724	942	0.161117078	0.134264232	0.026852846	3.651987111	0
MX15_Huatulco	MX15	15.8	-96.11	Mexico:Oaxaca:Huatulco	MÃ©xico	Oaxaca	Crucecita	Huatulco	40	2500	100	42035	shrubland: tropical shrubland biome	Mexican Dry & Coniferous Forests Bioregion	Southern Pacific Dry Forests	II	Selva_Baja			6.892136755	5.362251399	57.7893627	7617	1863	1.956150716	0.879611396	0.196927924	0.196927924	0
MX1a_Chamela	MX1a	19.51	-105.05	Mexico:Jalisco:Chamela	MÃ©xico	Jalisco	Chamela	Chamela	40	2500	100	41944	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Jalisco Dry Forests	II	Selva_Baja			5.729809634	6.215939157	19.8697487	2652	809	0.452488688	4.449472097	0.60331825	0.490196078	0
MX24_Puerto_Escondido	MX24	15.91	-97.08	Mexico:Oaxaca:Puerto Escondido	MÃ©xico	Oaxaca	Puente San JosÃ©	Puerto_Escondido	40	2500	100	43617	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Southern Pacific Dry Forests	II	Selva_Baja			3.637290529	2.57435113	10.15282977	11446	1879	0.91735104	0.978507776	0.096103442	0.419360475	0
S916_La_Ventosa	S916	16.6	-95.02	Mexico:Oaxaca:La Ventosa	MÃ©xico	Oaxaca	La Cueva	La_Ventosa	40	2500	100	43441	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Southern Pacific Dry Forests	II	Selva_Baja			6.129795569	5.070063054	1.905430917	7645	1133	2.249836494	0.915631131	0.654022237	0.104643558	0
S917_Morro_de_MazatÃ¡n	S917	16.11	-95.32	Mexico:Oaxaca:Morro de MazatÃ¡n	MÃ©xico	Oaxaca	Guelaguechi	Morro_de_MazatÃ¡n	40	2500	100	43441	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Southern Pacific Dry Forests	II	Selva_Baja			6.034679263	6.041548505	23.88370565	4992	957	1.141826923	0.520833333	0.220352564	0.360576923	0
S918_El_Limon	S918	15.93	-95.78	Mexico:Oaxaca:El LimÃ³n	MÃ©xico	Oaxaca	El LimÃ³n	El_Limon	40	2500	100	43442	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Southern Pacific Dry Forests	II	Selva_Baja			6.740029111	2.107135083	1.715795587	7239	1177	1.560989087	0.980798453	0.193396878	0.524934383	0
G5137_Chichen_Itza	G5137	20.68	-88.57	Mexico:YucatÃ¡n:Chichen Itza	MÃ©xico	YucatÃ¡n	ChichÃ©n ItzÃ¡	Chichen_Itza	40	2500	100	43651	forest: subtropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Dry Forests	I	Selva_Mediana			3.410946695	11.13544978	34.99083086	3416	1006	0.526932084	0.117096019	0.029274005	0.322014052	0
G5138_Kax_Ek	G5138	20.75	-88.47	Mexico:YucatÃ¡n:Kax Ek	MÃ©xico	YucatÃ¡n	San Francisco el Grande	Kax_Ek	40	2500	100	43651	forest: subtropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Dry Forests	I	Selva_Mediana			3.70079034	7.7779189	0.390965035	3639	873	1.676284694	0.109920308	0	0.934322616	0
MX28_Calakmul	MX28	18.23	-89.8	Mexico:Campeche:Calakmul	MÃ©xico	Campeche	El Ramonal	Calakmul	40	2500	100	42494	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Moist Forests	I	Selva_Mediana			0.940749701	3.231817539	19.34782609	8446	1440	0.023679848	0.177598863	0.118399242	0.591996211	0
S036_El_Eden	S036	21.21	-87.19	Mexico:Quintana Roo:El Eden	MÃ©xico	Quintana Roo	El EdÃ©n	El_Eden	40	2500	100	40450	forest: subtropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Moist Forests	I	Selva_Mediana			3.361789952	16.33356629	1.615046509	4053	1074	0.222057735	0.246730817	0.123365408	0.616827042	0
S531_Becanchen	S531	19.96	-89.17	Mexico:YucatÃ¡n:Becanchen	MÃ©xico	YucatÃ¡n	San Gaspar	Becanchen	40	2500	100	42255	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Dry Forests	I	Selva_Mediana			1.40808441	24.68810893	40.17108251	4210	766	0.380047506	0.570071259	0.190023753	1.187648456	0.071258907
S532_Tulum	S532	20.2	-87.48	Mexico:Cancun:Tulum	MÃ©xico	Quintana Roo	La Veleta, Tulum	Tulum	40	2500	100	42256	forest: subtropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	Yucatan Moist Forests	I	Selva_Mediana			1.563484805	22.70080935	16.71852843	3068	517	0.521512386	0.130378096	0.097783572	1.075619296	0
S919_Bahia_la_Boquilla	S919	15.68	-96.47	Mexico:Oaxaca:Bahia la Boquilla	MÃ©xico	Oaxaca	La Boquilla	Bahia_la_Boquilla	40	2500	100	43442	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Southern Pacific Dry Forests	II	Selva_Mediana			5.406604646	3.690142933	19.32758047	2965	681	4.991568297	2.731871838	0.370994941	0.876897133	0
S920_Yolina	S920	15.72	-96.41	Mexico:Oaxaca:Yolina	MÃ©xico	Oaxaca	Yolina	Yolina	40	2500	100	43442	forest: tropical broadleaf forest biome	Mexican Dry & Coniferous Forests Bioregion	Southern Pacific Dry Forests	II	Selva_Mediana			5.213558951	2.599783346	52.88059107	4714	1116	4.391175223	0.933389902	0.487908358	0.466694951	0
S912_Lacantun	S912	16.15	-90.89	Mexico:Chiapas:LacantÃºn	MÃ©xico	Chiapas	LacantÃºn	Lacantun	40	2500	100	43439	forest: tropical broadleaf forest biome	Yucatan & Veracruz Mixed Forests Bioregion	PetÃ©n-Veracruz moist forests	VIII	Selva_Mediana			1.955136411	11.88701868	30.90016245	2732	607	0.109809663	0.256222548	0.036603221	0	0
